Feature,Importance
Year,0.07215965708310575
Month,0.11727176419577683
Day,0.23377649357067135
Quantity,0.1831524395967914
Discount,0.0800260786470401
Category_Office Supplies,0.03416075772868679
Category_Technology,0.017224904333507467
Sub-Category_Appliances,0.003680974766290405
Sub-Category_Art,7.558005724835356e-05
Sub-Category_Binders,0.004737649156368413
Sub-Category_Bookcases,0.0025479444250994148
Sub-Category_Chairs,0.0026726632468110343
Sub-Category_Copiers,0.10394298610418083
Sub-Category_Envelopes,0.000122744035353488
Sub-Category_Fasteners,4.548802207405244e-05
Sub-Category_Furnishings,0.024582017935389024
Sub-Category_Labels,8.606714355406465e-05
Sub-Category_Machines,0.04039657003242111
Sub-Category_Paper,0.00044519797639526145
Sub-Category_Phones,0.00433912163509932
Sub-Category_Storage,0.0069728315716003275
Sub-Category_Supplies,0.0032050454801967913
Sub-Category_Tables,0.0048254618960920015
Region_East,0.025764446823845207
Region_South,0.01556964383385463
Region_West,0.018215470702546706
